Aalpha,Abeta,Balpha,Bbeta,Y
4.1666666667,0.8888888889,3.3888888889,3.8888888889,
2.6111111111,2.6666666667,3.4444444444,3.4444444444,
5.4444444444,4.7777777778,2.6111111111,5.1666666667,
5.6111111111,5.6666666667,5,3.5555555556,
2.9444444444,1.7222222222,1,5.0555555556,
0.6111111111,0.8333333333,4.8888888889,3.7222222222,
1.5555555556,4.3333333333,2.3333333333,5.8333333333,
5.8333333333,1.8888888889,0.8888888889,3.1666666667,
5.3333333333,1.4444444444,4.1111111111,1.4444444444,
3.6666666667,1.1666666667,5.6666666667,1,
2.2777777778,4.5555555556,5.2777777778,1.6666666667,
5.1111111111,4.2222222222,3.5555555556,0.7777777778,
1.6666666667,0.7777777778,2,0.9444444444,
3.5555555556,2.7777777778,2.7222222222,5.2777777778,
4.3888888889,2.6111111111,0.5555555556,2.9444444444,
5.3888888889,1.7777777778,3.3333333333,4.8333333333,
5.5555555556,3.2777777778,2.4444444444,6,
5,5.5555555556,2.8888888889,1.1666666667,
5.9444444444,2.8888888889,6,4.4444444444,
2.5555555556,3.2222222222,2.7777777778,1.2222222222,
0.5555555556,5.0555555556,2.6666666667,2.3333333333,
3.8333333333,5.6111111111,5.5555555556,2.2222222222,
2,6,2.9444444444,4.6111111111,
1.7222222222,1.8333333333,4.9444444444,4.1666666667,
3.9444444444,1.3333333333,1.7222222222,1.7222222222,
2.8888888889,5.7222222222,5.8888888889,4,
4.4444444444,2.1111111111,5.7777777778,3,
4.6666666667,4.3888888889,5.2222222222,5.5,
3.2222222222,1.1111111111,0.6111111111,3.6111111111,
1.4444444444,2.5,0.9444444444,0.8333333333,
0.8888888889,5.9444444444,3.7777777778,5.8888888889,
1.1666666667,3.5,3.1666666667,1.7777777778,
3.6111111111,5.7777777778,3.8333333333,0.6111111111,
3,2.2222222222,5.5,4.7222222222,
1.3333333333,5.1111111111,4.3888888889,0.6666666667,
4.7222222222,4.6111111111,3.6111111111,2.7777777778,
3.5,0.9444444444,4.5555555556,5.1111111111,
1.9444444444,3.5555555556,1.7777777778,2.6111111111,
4.0555555556,2.3888888889,4.7222222222,2,
3.2777777778,3.9444444444,4.4444444444,3.0555555556,
1,4.6666666667,1.1111111111,1.9444444444,
5.6666666667,3.7777777778,0.8333333333,5.3333333333,
2.8333333333,1.5,0.7222222222,2.1111111111,
1.6111111111,3.0555555556,1.5,4.2777777778,
3.0555555556,1.6111111111,2.1111111111,3.9444444444,
2.7777777778,1.2777777778,3.1111111111,1.6111111111,
2.6666666667,2.2777777778,5.0555555556,2.8888888889,
4.5555555556,2.5555555556,4.3333333333,3.8333333333,
4.3333333333,4.2777777778,2.5,4.0555555556,
3.1111111111,5.2222222222,2.5555555556,2.7222222222,
