Aalpha,Abeta,Balpha,Bbeta,Y
0.9444444444,4.1666666667,2.1666666667,0.5555555556,
0.7777777778,3.3888888889,3.8888888889,3.2222222222,
3.3888888889,2.1666666667,0.7777777778,0.7222222222,
2.3333333333,3.6111111111,3.5,4.3333333333,
0.8333333333,1.6666666667,3.0555555556,5,
1.0555555556,2.0555555556,2.2222222222,2.5555555556,
0.5,3.1111111111,5.1111111111,1.8333333333,
4.6111111111,4.0555555556,5.6111111111,1.2777777778,
1.3888888889,1.5555555556,5.8333333333,5.7222222222,
4.9444444444,4,5.4444444444,3.2777777778,
