Aalpha,Abeta,Balpha,Bbeta,Y
49.495959596,2.6202020202,42.439393939,23.78989899,
7.6606060606,29.334343434,26.31010101,4.1323232323,
43.447474747,8.1646464646,2.1161616162,14.213131313,
47.983838384,9.1727272727,5.6444444444,34.878787879,
9.6767676768,35.382828283,7.1565656566,29.334343434,
34.878787879,8.6686868687,3.6282828283,41.431313131,
25.806060606,33.366666667,21.26969697,7.6606060606,
39.415151515,5.6444444444,19.757575758,45.463636364,
5.1404040404,1.6121212121,40.423232323,38.407070707,
32.358585859,7.1565656566,14.717171717,30.342424242,
29.838383838,7.6606060606,0.604040404,0.604040404,
24.293939394,26.31010101,36.894949495,6.6525252525,
22.781818182,35.886868687,9.1727272727,46.975757576,
3.1242424242,47.47979798,20.765656566,8.6686868687,
28.83030303,32.358585859,49.495959596,6.1484848485,
30.846464646,41.431313131,39.919191919,37.903030303,
36.390909091,39.919191919,48.487878788,49.495959596,
17.741414141,25.806060606,27.318181818,19.253535354,
31.350505051,46.471717172,17.237373737,40.927272727,
19.253535354,4.6363636364,22.781818182,42.943434343,
