"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 42.9459896 50.0075611 45.9722082 11.1939602 4.91748523323881 1.21854802743892 861922731048828928 1 5.83785945767568e-259 -48.7814519725611
1 2 42.9742431 50.0306064 46.0082747 11.2246971 4.91739855197893 1.22095732305165 861922731048828928 1 1.36133185861463e-258 -48.7790426769484
1 3 43.0113466 50.0746732 46.0364326 11.252028 4.9173689498429 1.22320697586259 861922731048828928 1 2.28636375868821e-258 -48.7767930241374
1 4 43.0816555 50.1222039 46.1087801 11.3007371 4.91705841211949 1.22662468897568 861922731048828928 1 1.43630652670547e-255 -48.7733753110243
1 5 43.1648654 50.2095631 46.171448 11.3896529 4.91655094676281 1.23464797807134 861922731048828928 1 1.59791037884007e-250 -48.7653520219287
2 1 42.9530042 50.0029507 45.9828692 11.1931547 4.9174106454408 1.21818650220049 861991462336724992 1 5.03705514706236e-259 -48.7818134977995
2 2 42.9762129 50.0226667 46.0109769 11.2065373 4.9173312776535 1.2189145726914 861991462336724992 1 6.6302185521092e-259 -48.7810854273086
2 3 43.0173087 50.0598098 46.051842 11.2181357 4.91722279192746 1.21911428768999 861991462336724992 1 8.54498874857596e-259 -48.78088571231
2 4 43.0617698 50.1228035 46.1381741 11.2592985 4.9172572533254 1.22137687052385 861991462336724992 1 1.35303428587873e-258 -48.7786231294762
2 5 43.1469149 50.2057812 46.2131149 11.326066 4.91701087498326 1.22669720343721 861991462336724992 1 4.30741234785109e-258 -48.7733027965628
3 1 42.9412808 50.00394 45.9728105 11.1875976 4.91750041884412 1.21784262809282 862137708120637440 1 6.42929320725916e-259 -48.7821573719072
3 2 42.9775809 50.0265205 45.9907545 11.2063492 4.91734853948785 1.21942311391265 862137708120637440 1 1.01887902996663e-258 -48.7805768860873
3 3 43.0271461 50.0596069 46.034832 11.2383349 4.91714920005388 1.22175702653855 862137708120637440 1 8.24566458651391e-258 -48.7782429734615
3 4 43.1025305 50.1361002 46.0786915 11.2831799 4.91698303451067 1.22547472240043 862137708120637440 1 1.47624902928377e-257 -48.7745252775996
3 5 43.2030191 50.2473586 46.1717961 11.3583455 4.91673805703329 1.23122723467971 862137708120637440 1 9.87737489980817e-258 -48.7687727653203
