"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 23.2883927 10.6924546 7.66512942 24.2990549 2.2958144207888 15.8871885635003 861922731048828928 2 7.23627587337437e-117 -34.1128114364997
1 2 23.3166482 10.71549591 7.70119664 24.329788 2.29812212192582 15.8428300244746 861922731048828928 2 8.99578747572627e-117 -34.1571699755254
1 3 23.3537546 10.7595581 7.72935467 24.3571152 2.30405943226023 15.8142541816553 861922731048828928 2 2.75949470914307e-117 -34.1857458183447
1 4 23.4491043 10.84402641 7.64728392 24.4833114 2.3131666410975 16.0475517627931 861922731048828928 2 6.20770431876359e-107 -33.9524482372069
1 5 23.5004346 11.0781975 7.61260673 24.7217462 2.35869896188469 16.2791026976502 861922731048828928 2 2.32966427023977e-89 -33.7208973023498
2 1 23.2954069 10.68784503 7.67579031 24.2982494 2.29415377759445 15.8684919583017 861991462336724992 2 5.67275176658631e-120 -34.1315080416983
2 2 23.3186182 10.7075574 7.70389944 24.3116271 2.29629642868289 15.82908839106 861991462336724992 2 1.68719603069446e-112 -34.17091160894
2 3 23.3597168 10.7446947 7.74476597 24.3232218 2.30049435952839 15.765643691651 861991462336724992 2 6.3341827034605e-116 -34.234356308349
2 4 23.8232947 10.90829582 7.74265839 24.434349 2.29141775273495 15.8312168139996 861991462336724992 2 1.08889472080623e-110 -34.1687831860004
2 5 23.5933307 10.35685886 7.66857801 24.3078393 2.19530174539889 15.8767895120092 861991462336724992 2 2.94973558787297e-114 -34.1232104879908
3 1 23.2836842 10.68883543 7.66573167 24.292691 2.29546409669288 15.8832331292258 862137708120637440 2 4.15671301864591e-113 -34.1167668707742
3 2 23.3199866 10.7114098 7.6836762 24.3114396 2.29695135024882 15.8661354879073 862137708120637440 2 4.56852994835107e-118 -34.1338645120927
3 3 23.3695544 10.74449154 7.72775505 24.3434204 2.29942688517047 15.808110568394 862137708120637440 2 1.0040327589677e-113 -34.191889431606
3 4 23.2908622 10.69076486 7.65931782 24.5937039 2.29516660347868 16.0905118937246 862137708120637440 2 3.71439716920703e-114 -33.9094881062754
3 5 23.287855 10.63887746 7.63836131 24.5557975 2.28437785476371 16.1131046916422 862137708120637440 2 3.6192441620026e-114 -33.8868953083578
