"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 10.18329728 6.15605919 13.2096053 16.2343604 3.02362566522134 6.243283268259 861922731048828928 3 0 -93.756716731741
1 2 10.2170988 6.17880183 13.2493191 16.2660495 3.02604324273478 6.23779763792171 861922731048828928 3 0 -93.7622023620783
1 3 10.24167047 6.24103863 13.2908597 16.2993325 3.04965180441795 6.23391836348361 861922731048828928 3 0 -93.7660816365164
1 4 10.29074197 6.29194765 13.3377865 16.3673995 3.06200592060976 6.24048757286951 861922731048828928 3 0 -93.7595124271305
1 5 10.33290132 6.40151812 13.4364932 16.4561327 3.10103460272227 6.2346379575295 861922731048828928 3 0 -93.7653620424705
2 1 10.1903129 6.15144925 13.2202659 16.2335552 3.01940085624134 6.23832074549253 861991462336724992 3 0 -93.7616792545075
2 2 10.21862501 6.1701618 13.245094 16.2386555 3.02163268850595 6.22947304908397 861991462336724992 3 0 -93.770526950916
2 3 10.25627931 6.20313575 13.2916552 16.2572367 3.02820491404465 6.21643340056483 861991462336724992 3 0 -93.7835665994352
2 4 10.31984121 6.27182036 13.366167 16.2975642 3.04461941840982 6.19977005265966 861991462336724992 3 0 -93.8002299473403
2 5 10.43645489 6.33927952 13.4842237 16.3544989 3.04484201549263 6.17176065395709 861991462336724992 3 0 -93.8282393460429
3 1 10.17858938 6.15243922 13.2102074 16.2279981 3.02301631326098 6.24082969952925 862137708120637440 3 0 -93.7591703004708
3 2 10.21422104 6.18109592 13.236177 16.2477287 3.02765024312975 6.23702051246311 862137708120637440 3 0 -93.7629794875369
3 3 10.26645826 6.23544228 13.2647441 16.2954255 3.04011439303156 6.24305814748949 862137708120637440 3 0 -93.7569418525105
3 4 10.33353312 6.3077669 13.3255993 16.3514508 3.05822683363963 6.23869763500538 862137708120637440 3 0 -93.7613023649946
3 5 10.41865634 6.44533473 13.4022433 16.474011 3.10088955525164 6.25338580994728 862137708120637440 3 0 -93.7466141900527
