"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 47.4822961 31.3580618 7.16108942 34.8838601 3.3021322320962 24.4351869148136 861922731048828928 2 4.45442136219359e-60 -25.5648130851864
1 2 47.5105562 31.3811076 7.19715665 34.9145969 3.30264523214778 24.3514171018014 861922731048828928 2 6.92584293589062e-61 -25.6485828981986
1 3 47.5476648 31.4251742 7.22531474 34.9419275 3.30476083670208 24.2946342006972 861922731048828928 2 4.36041879914113e-60 -25.7053657993028
1 4 48.1861455 31.3450449 7.16801485 34.8756782 3.25375489791677 24.4047078076232 861922731048828928 2 2.81501970821306e-61 -25.5952921923768
1 5 47.4798022 31.3666391 6.79874521 34.5445359 3.30320308569808 25.5094011980644 861922731048828928 2 1.41993283223657e-58 -24.4905988019356
2 1 47.4893119 31.3534513 7.17175031 34.8830547 3.30116574768339 24.4052735355753 861991462336724992 2 1.36416951825591e-62 -25.5947264644247
2 2 47.5125283 31.3731683 7.19985944 34.8964371 3.30170385715099 24.3362637747738 861991462336724992 2 5.11390689788957e-56 -25.6637362252262
2 3 47.5536318 31.4103116 7.24072598 34.9080356 3.30285332734696 24.2284093051188 861991462336724992 2 1.52975904454946e-58 -25.7715906948812
2 4 47.7891156 31.4566973 7.19469155 34.9478913 3.2917173781746 24.3775360711044 861991462336724992 2 1.12525215379545e-59 -25.6224639288956
2 5 47.8011715 31.3564042 7.16453801 34.9560735 3.28002141943594 24.4737111473413 861991462336724992 2 3.08063834273784e-56 -25.5262888526587
3 1 47.4775883 31.3544414 7.16169167 34.8774974 3.30206539965947 24.4312599129327 862137708120637440 2 1.26982801469462e-58 -25.5687400870673
3 2 47.513895 31.3770227 7.1796362 34.8962489 3.30199679973625 24.3967607328308 862137708120637440 2 4.87772697375726e-62 -25.6032392671692
3 3 47.5634656 31.4101091 7.22371513 34.9282346 3.30214224984769 24.2903012396421 862137708120637440 2 7.1837293269729e-61 -25.7096987603579
3 4 47.484767 31.3563715 7.15527782 35.1785097 3.30176866395672 24.6589305560639 862137708120637440 2 2.99947756993758e-59 -25.3410694439361
3 5 47.5619792 31.3333489 7.13497197 35.1536051 3.29420944669829 24.7170499573146 862137708120637440 2 2.02884105514471e-58 -25.2829500426854
