"individualid" "outputA"
"1" 0 15
"2" 1 15
"3" 2 18.7333
"4" 3 15
"5" 4 15
"6" 5 21.9975
"7" 6 15
"8" 7 15
"9" 8 20.7291
"10" 9 15
"11" 10 15
"12" 11 24.452
"13" 12 21.5888
"14" 13 15
"15" 14 22.6831
"16" 15 16.5312
"17" 16 15
"18" 17 18.7333
"19" 18 15
"20" 19 15
"21" 20 15
"22" 21 15
"23" 22 15
"24" 23 15
"25" 24 15
"26" 25 15
"27" 26 22.2126
"28" 27 15
"29" 28 15
"30" 29 22.6831
"31" 30 15
"32" 31 22.6831
"33" 32 15
"34" 33 24.1315
"35" 34 15
"36" 35 15
"37" 36 15
"38" 37 10.8901
"39" 38 15
"40" 39 15
"41" 40 15
"42" 41 13.027
"43" 42 15
"44" 43 14.003
"45" 44 15
"46" 45 15
"47" 46 21.9975
"48" 47 21.0377
"49" 48 15
"50" 49 15
"51" 50 15
"52" 51 15
"53" 52 18.6009
"54" 53 15
"55" 54 15
"56" 55 15
"57" 56 15
"58" 57 15
"59" 58 15
"60" 59 21.0377
"61" 60 15
"62" 61 15
"63" 62 15
"64" 63 15
"65" 64 2.74339
"66" 65 15
"67" 66 15
"68" 67 15
"69" 68 15
"70" 69 15
"71" 70 15
"72" 71 15
"73" 72 15
"74" 73 15
"75" 74 15
"76" 75 21.0683
"77" 76 15
"78" 77 15
"79" 78 15
"80" 79 15
"81" 80 15
"82" 81 15
"83" 82 15
"84" 83 15
"85" 84 15
"86" 85 15
"87" 86 29.6806
"88" 87 15
"89" 88 13.027
"90" 89 26.1804
"91" 90 15
"92" 91 15
"93" 92 15
"94" 93 15
"95" 94 18.7333
"96" 95 15
"97" 96 15
"98" 97 15
"99" 98 14.003
"100" 99 15
"101" 100 15
"102" 101 15
"103" 102 15
"104" 103 15
"105" 104 15
"106" 105 15
"107" 106 15
"108" 107 15
"109" 108 10.1532
"110" 109 15
"111" 110 26.1436
"112" 111 15
"113" 112 15
"114" 113 15
"115" 114 15
"116" 115 15
"117" 116 15
"118" 117 15
"119" 118 22.7187
"120" 119 15
"121" 120 15
"122" 121 15
"123" 122 23.2917
"124" 123 15
"125" 124 22.6831
"126" 125 7.62932
"127" 126 15
"128" 127 15
"129" 128 15
"130" 129 15
"131" 130 15
"132" 131 16.5653
"133" 132 15
"134" 133 22.6831
"135" 134 15
"136" 135 15
"137" 136 15
"138" 137 15
"139" 138 1.56288
"140" 139 15
"141" 140 15
"142" 141 15
"143" 142 15
"144" 143 15
"145" 144 15
"146" 145 15
"147" 146 15
"148" 147 15
"149" 148 15
"150" 149 15
"151" 150 15
"152" 151 21.9975
"153" 152 15
"154" 153 15
"155" 154 15
"156" 155 24.452
"157" 156 15
"158" 157 16.8926
"159" 158 15
"160" 159 15
"161" 160 16.4838
"162" 161 16.8926
"163" 162 15
"164" 163 15
"165" 164 15
"166" 165 15
"167" 166 15
"168" 167 22.6831
"169" 168 15
"170" 169 15
"171" 170 15
"172" 171 25.5774
"173" 172 15
"174" 173 15
"175" 174 15
"176" 175 15
"177" 176 15
"178" 177 21.6921
"179" 178 15
"180" 179 15
"181" 180 15
"182" 181 19.7496
"183" 182 15
"184" 183 15
"185" 184 15
"186" 185 14.003
"187" 186 15
"188" 187 15
"189" 188 15
"190" 189 15
"191" 190 10.3715
"192" 191 15
"193" 192 15
"194" 193 19.7496
"195" 194 15
"196" 195 15
"197" 196 15
"198" 197 15
"199" 198 15
"200" 199 15
"201" 200 15
"202" 201 15
"203" 202 15
"204" 203 15
"205" 204 15
"206" 205 15
"207" 206 15
"208" 207 24.452
"209" 208 15
"210" 209 24.5785
"211" 210 22.6831
"212" 211 15
"213" 212 21.0377
"214" 213 15
"215" 214 15
"216" 215 15
"217" 216 15
"218" 217 21.9831
"219" 218 8.22949
"220" 219 15
"221" 220 15
"222" 221 15
"223" 222 15
"224" 223 15
"225" 224 15
"226" 225 15
"227" 226 15
"228" 227 15
"229" 228 18.5164
"230" 229 15
"231" 230 15
"232" 231 15
"233" 232 15
"234" 233 21.9975
"235" 234 20.1121
"236" 235 15
"237" 236 15
"238" 237 15
"239" 238 15
"240" 239 15
"241" 240 15
"242" 241 15
"243" 242 15
"244" 243 15
"245" 244 15
