Aalpha,Abeta,Balpha,Bbeta,Hilln,Y
18.592929293,10.351515152,5.9292929293,6.3313131313,108.58585859,
7.7383838384,5.9292929293,16.783838384,15.376767677,50,
5.7282828283,19.798989899,15.97979798,0.904040404,105.55555556,
6.5323232323,5.7282828283,17.386868687,11.95959596,111.61616162,
11.155555556,17.788888889,19.195959596,5.9292929293,122.72727273,
14.170707071,15.175757576,18.190909091,12.763636364,144.94949495,
3.5171717172,8.5424242424,4.9242424242,18.391919192,62.121212121,
0.703030303,0.1,16.381818182,12.562626263,119.6969697,
5.5272727273,10.753535354,1.5070707071,20,123.73737374,
2.3111111111,11.95959596,4.3212121212,10.552525253,93.434343434,
8.5424242424,19.597979798,11.557575758,10.954545455,67.171717172,
20,12.763636364,3.7181818182,3.3161616162,55.050505051,
12.361616162,7.9393939394,6.5323232323,18.793939394,104.54545455,
4.9242424242,12.160606061,13.567676768,12.964646465,70.202020202,
7.1353535354,11.557575758,16.180808081,2.5121212121,91.414141414,
2.7131313131,15.778787879,4.5222222222,0.502020202,96.464646465,
7.3363636364,11.155555556,2.1101010101,7.5373737374,54.04040404,
8.3414141414,1.1050505051,9.1454545455,16.381818182,75.252525253,
6.1303030303,9.7484848485,1.1050505051,5.1252525253,129.7979798,
5.1252525253,15.376767677,10.753535354,18.592929293,148.98989899,
7.9393939394,14.572727273,2.7131313131,16.180808081,74.242424242,
14.773737374,16.180808081,19.798989899,16.783838384,103.53535354,
19.396969697,4.5222222222,3.9191919192,12.361616162,118.68686869,
2.5121212121,3.1151515152,5.5272727273,5.3262626263,98.484848485,
9.3464646465,3.5171717172,19.597979798,6.1303030303,69.191919192,
9.7484848485,7.3363636364,2.9141414141,0.301010101,97.474747475,
4.7232323232,13.366666667,15.577777778,3.9191919192,131.81818182,
0.1,9.3464646465,13.96969697,17.98989899,107.57575758,
18.391919192,0.301010101,6.9343434343,3.1151515152,94.444444444,
16.783838384,7.7383838384,12.361616162,2.1101010101,64.141414141,
11.557575758,17.185858586,3.5171717172,7.7383838384,72.222222222,
15.97979798,3.3161616162,16.582828283,2.7131313131,100.50505051,
4.1202020202,1.9090909091,5.7282828283,14.773737374,117.67676768,
1.3060606061,5.5272727273,17.788888889,5.5272727273,137.87878788,
14.572727273,10.150505051,11.758585859,10.351515152,138.88888889,
17.185858586,18.793939394,13.366666667,12.160606061,61.111111111,
