Aalpha,Abeta,Balpha,Bbeta,Y
41.935353535,48.991919192,44.95959596,10.180808081,
22.277777778,9.6767676768,6.6525252525,23.285858586,
9.1727272727,5.1404040404,12.196969697,15.221212121,
16.229292929,43.447474747,18.245454545,37.398989899,
46.471717172,30.342424242,6.1484848485,33.870707071,
5.6444444444,37.903030303,46.975757576,22.277777778,
14.717171717,49.495959596,10.684848485,44.95959596,
11.188888889,30.846464646,39.415151515,12.196969697,
42.943434343,15.221212121,41.431313131,50,
2.1161616162,20.261616162,23.78989899,36.390909091,
